Catégorie;Durée de l'opération;Rémunération de la banque
<=3d;0;0.0003
<=1M;3;0.0004
<=2M;31;0.0005
<=3M;61;0.0006
<=6M;92;0.0008
<=1Y;183;0.001
>1Y;366;0.0012
