"Index";"Rating";"Value"
"1";"Aaa";"0.0001"
"2";"Aa1";"0.0001"
"3";"Aa2";"0.0001"
"4";"Aa3";"0.0003"
"5";"A1";"0.0004"
"6";"A2";"0.0005"
"7";"A3";"0.0007"
"8";"Baa1";"0.0010"
"9";"Baa2";"0.0016"
"10";"Baa3";"0.0024"
"11";"Ba1";"0.0038"
"12";"Ba2";"0.0063"
"13";"Ba3";"0.0111"
"14";"B1";"0.0214"
"15";"B2";"0.0382"
"16";"B3";"0.0712"
"17";"Caa1";"0.1500"
"18";"Caa2";"0.2682"
"19";"Caa3";"0.3500"
"20";"Ca";"0.5000"
"21";"C";"0.9999"
